"id","type","category","product_category","brand","flavor","description","strength","vibes","in_stock","media_url"
"301","Магазин","Для себя","Табаки","Death Punch","Красная Черешня","Спелая сладкая красная черешня","3","ягоды","true",""
"302","Магазин","Для себя","Табаки","Death Punch","Pinkkick","Клубника малина грейпфрут","3","ягоды","true",""
"303","Магазин","Для себя","Табаки","Death Punch","Пюре из киви","Киви","3","тропики","true",""
"304","Магазин","Для себя","Табаки","Death Punch","Фруктовый лёд","Ягодно-фруктовый лед","3","холод","true",""
"305","Магазин","Для себя","Табаки","Death Punch","Кисло-сладкий ананас","Сочный ананас","3","кислый","true",""
"306","Магазин","Для себя","Табаки","Death Punch","Ананас Груша Яблоко","Фруктовый микс","3","фрукты","true",""
"307","Магазин","Для себя","Табаки","Death Punch","Лесные ягоды с мякотью арбуза","Ягоды и арбуз","3","летний","true",""
"308","Магазин","Для себя","Табаки","Death Punch","Земляника княженика малина","Ягодный микс","3","ягоды","true",""
"309","Магазин","Для себя","Табаки","Death Punch","Киви и клубника","Кисло-сладкий микс","3","фрукты","true",""
"310","Магазин","Для себя","Табаки","Death Punch","Сладкий апельсин","Сочный апельсин","3","сладкий","true",""
"311","Магазин","Для себя","Табаки","Death Punch","Арбуз Дыня","Летний микс","3","летний","true",""
"312","Магазин","Для себя","Табаки","Death Punch","Виноградная шипучка","Газировка с виноградом","3","напитки","true",""
"313","Магазин","Для себя","Табаки","Death Punch","Садовая малина","Сладкая малина","3","ягоды","true",""
"314","Магазин","Для себя","Табаки","Death Punch","Маракуйя","Кисло-сладкая маракуйя","3","тропики","true",""
"101","Магазин","Для себя","Табаки","Hell","Бэри Джус","Ягодный сок","3","сладкий","true",""
"102","Магазин","Для себя","Табаки","Hell","Кисло-сладкий ананас","Сочный ананас","3","кислый","true",""
"103","Магазин","Для себя","Табаки","Hell","Малина","Спелая малина","3","ягоды","true",""
"104","Магазин","Для себя","Табаки","Hell","Лимонная шипучка","Освежающий лимон","3","кислый","true",""
"105","Магазин","Для себя","Табаки","Hell","Пюре из манго","Сладкое манго","3","тропики","true",""
"106","Магазин","Для себя","Табаки","Hell","Черника мята","Ягоды с мятой","3","свежесть","true",""
"107","Магазин","Для себя","Табаки","Hell","Земляника","Сладкая земляника","3","ягоды","true",""
"108","Магазин","Для себя","Табаки","Hell","Киви смузи","Смузи из киви","3","тропики","true",""
"109","Магазин","Для себя","Табаки","Hell","Orbeat Kids","Детская жвачка","3","сладкий","true",""
"110","Магазин","Для себя","Табаки","Hell","Skittles","Фруктовые конфеты","3","сладкий","true","images/catalog/110.png"
"111","Магазин","Для себя","Табаки","Hell","Розовый виноград","Сладкий виноград","3","фрукты","true",""
"112","Магазин","Для себя","Табаки","Hell","Грейпфрут","Терпкий грейпфрут","3","кислый","true",""
"113","Магазин","Для себя","Табаки","Hell","Манго Маракуйя Ананас","Тропический микс","3","тропики","true",""
"114","Магазин","Для себя","Табаки","Hell","Огуречный лимонад с маракуей","Свежий лимонад","3","свежесть","true",""
"115","Магазин","Для себя","Табаки","Hell","Fruit Zilla","Фруктовый монстр","3","фрукты","true",""
"116","Магазин","Для себя","Табаки","Hell","Апельсиновая шипучка","Цитрусовый лимонад","3","кислый","true",""
"117","Магазин","Для себя","Табаки","Hell","Ягодные мишки","Мармеладные мишки","3","сладкий","true","images/catalog/117.png"
"118","Магазин","Для себя","Табаки","Hell","Фисташковое мороженое","Десерт с фисташкой","3","десерты","true",""
"119","Магазин","Для себя","Табаки","Hell","Маракуйя","Спелая маракуйя","3","тропики","true",""
"120","Магазин","Для себя","Табаки","Hell","Миринда","Апельсиновая газировка","3","напитки","true",""
"121","Магазин","Для себя","Табаки","Hell","Тропический йогурт","Сливочный тропик","3","десерты","true","images/catalog/121.png"
"122","Магазин","Для себя","Табаки","Hell","Барбарис","Леденцы барбарис","3","сладкий","true","images/catalog/122.png"
"123","Магазин","Для себя","Табаки","Hell","Барбарис дюшес холодок","Леденцы с холодком","3","свежесть","true",""
"124","Магазин","Для себя","Табаки","Hell","Нирвана","Цветочный релакс","3","цветы","true",""
"125","Магазин","Для себя","Табаки","Hell","Черника малина йогурт","Ягодный йогурт","3","десерты","true",""
"126","Магазин","Для себя","Табаки","Hell","Спелая садовая клубника","Садовая клубника","3","ягоды","true",""
"127","Магазин","Для себя","Табаки","Hell","Лесные ягоды","Микс лесных ягод","3","ягоды","true",""
"128","Магазин","Для себя","Табаки","Hell","Яблоко","Зеленое яблоко","3","фрукты","true",""
"129","Магазин","Для себя","Табаки","Hell","Клубника карамель ваниль","Сладкий десерт","3","десерты","true",""
"130","Магазин","Для себя","Табаки","Hell","Арбуз","Сочный арбуз","3","летний","true",""
"131","Магазин","Для себя","Табаки","Hell","Фреш Lemon Lime","Лимон лайм","3","кислый","true",""
"132","Магазин","Для себя","Табаки","Hell","Грейпфрут 2","Цитрус","3","кислый","true",""
"133","Магазин","Для себя","Табаки","Hell","Вишня","Спелая вишня","3","ягоды","true",""
"134","Магазин","Для себя","Табаки","Hell","Спелая дыня","Сладкая дыня","3","летний","true",""
"135","Магазин","Для себя","Табаки","Hell","Леденцы со смородиной","Смородиновые леденцы","3","сладкий","true",""
"136","Магазин","Для себя","Табаки","Hell","Личи","Тропический личи","3","тропики","true","images/catalog/136.png"
"137","Магазин","Для себя","Табаки","Hell","Холодок","Ледяная свежесть","3","холод","true","images/catalog/137.png"
"138","Магазин","Для себя","Табаки","Hell","Кола","Классическая кола","3","напитки","true",""
"139","Магазин","Для себя","Табаки","Hell","Яблочный сок","Сок из яблок","3","напитки","true",""
"140","Магазин","Для себя","Табаки","Hell","Арбуз Дыня","Летний микс","3","летний","true",""
"141","Магазин","Для себя","Табаки","Hell","Pinkman","Ягодный микс","3","ягоды","true",""
